中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
刺殺小說家,2021/2/26,原創娛樂股份有限公司,"抖音文化（廈門）有限公司,東方嘉影電視院線傳媒股份公司,華策影業（天津）有限公司,深圳市一怡以藝文化傳媒有限公司,郭帆文化傳媒（北京）有限公司,天津十間影視傳媒有限公司,中青新影文化傳媒（北京）有限公司,天津貓眼微影文化傳媒有限公司,廣東優創合影文化傳播股份有限公司,之升（上海）影業有限公司,融創未來文化娛樂（北京）有限公司,霍爾果斯聚合影聯文化傳媒有限公司,上海阿里巴巴影業有限公司,北京自由酷鯨影業有限公司,上海尚世影業有限公司,優酷電影有限公司",36,"1,733",-71.49%,"412,505","15,133","3,642,304"
東經北緯,2021/3/5,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"緒虎製作有限公司,金騰國際傳媒股份有限公司,墨爾有限公司,德安信股份有限公司,三皇生物科技股份有限公司",24,"4,950",55.42%,"1,182,046","8,135","1,947,389"
複身犯,2021/2/26,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,96,"7,667",-66.67%,"1,815,083","57,769","13,629,559"
伏魔殿,2021/2/26,車庫娛樂股份有限公司,王逸帆,7,528,-0.19%,"84,030","1,183","189,350"
洞兩洞六,2021/2/19,車庫娛樂股份有限公司,王逸帆,5,379,-4.77%,"60,480","1,261","201,420"
我沒有談的那場戀愛,2021/2/10,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",83,"4,892",-68.72%,"1,156,666","156,347","37,384,123"
跟你老婆去旅行,2021/2/10,好好看文創有限公司,"滿滿額娛樂股份有限公司,好好看文創有限公司,上環國際多媒體娛樂股份有限公司,崴森管理顧問股份有限公司,羚邦控股有限公司,華納集團,中天星辰(香港)影業有限公司",37,486,-84.17%,"111,040","55,369","13,068,115"
金不厭詐,2021/2/10,春暉映像有限公司,壹捌玖伍電影有限公司,2,2,-98.17%,400,"5,641","1,257,204"
角頭－浪流連,2021/2/5,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",90,"19,108",-59.61%,"4,451,596","668,449","158,281,410"
緝魂,2021/1/29,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",49,"2,440",-72.75%,"587,373","211,854","50,376,641"
聽見臺灣,2021/1/22,沃土影像製作有限公司,沃土影像製作有限公司,18,500,0.20%,"106,727","1,747","368,530"
叱咤風雲,2021/1/16,星泰國際娛樂股份有限公司,量能文創股份有限公司##創映電影有限公司##天鵬翱翔集團有限公司,11,291,-74.87%,"85,925","135,764","31,906,159"
杏林醫院,2020/12/31,海樂影業股份有限公司,"海樂影業股份有限公司,影童國際有限公司",4,416,222.48%,"29,305","127,547","29,282,896"
腿,2020/12/24,甜蜜生活製作有限公司,鏡文學股份有限公司##華文創股份有限公司##甜蜜生活製作有限公司,2,81,170.00%,"12,420","33,673","7,806,810"
親愛的殺手,2020/12/4,威視股份有限公司,興揚電影有限公司##滿滿額娛樂股份有限公司##海寧鐵幕真文化傳媒有限公司##華映娛樂股份有限公司##十三月股份有限公司##浙江光芒文化傳媒有限公司##海寧夢生影視文化傳媒有限公司##上海牧神文化傳媒有限公司,1,39,-58.06%,"3,450","28,031","6,429,344"
同學麥娜絲,2020/11/20,甜蜜生活製作有限公司,甜蜜生活製作有限公司##華文創股份有限公司,5,264,-51.91%,"20,925","193,478","44,855,962"
孤味,2020/11/6,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,2,221,-55.35%,"12,850","828,262","190,860,335"
親愛的房客,2020/10/23,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,5,573,8.52%,"40,060","163,673","38,678,112"
刻在你心底的名字,2020/9/30,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,1,57,103.57%,"12,540","441,593","103,421,510"
消失的情人節,2020/9/18,華文創股份有限公司,華文創股份有限公司##影一製作所股份有限公司##美商華納兄弟（遠東）股份有限公司台灣分公司##國賓影城股份有限公司##威像電影有限公司,2,43,-73.62%,"2,245","139,940","32,284,535"
