"種類","年月","業者名稱","通話分鐘數（分）","用戶數","平均用戶通話分鐘數（分）"
"4G","104/2","所有業者","471446670","4598777","102.52"
"3G","104/2","中華電信股份有限公司","723192176","8121671","89.04"
"3G","104/2","台灣大哥大股份有限公司","305782452","5604619","54.56"
"3G","104/2","台灣之星電信股份有限公司","61553708","1421527","43.3"
"3G","104/2","亞太電信股份有限公司","114264820","1650078","69.25"
"3G","104/2","遠傳電信股份有限公司","432418273","5683309","76.09"
"2G","104/2","中華電信股份有限公司","92205540","1338989","68.86"
"2G","104/2","台灣大哥大股份有限公司","8889101","418922","21.22"
"2G","104/2","遠傳電信股份有限公司","13072964","401261","32.58"
"4G","104/1","所有業者","443540018","4023940","110.23"
"3G","104/1","中華電信股份有限公司","766598055","8212127","93.35"
"3G","104/1","台灣大哥大股份有限公司","352813292","5767660","61.17"
"3G","104/1","台灣之星電信股份有限公司","71730615","1431810","50.1"
"3G","104/1","亞太電信股份有限公司","148814786","1709924","87.03"
"3G","104/1","遠傳電信股份有限公司","505057032","5806224","86.99"
"2G","104/1","中華電信股份有限公司","99689887","1395838","71.42"
"2G","104/1","台灣大哥大股份有限公司","9849599","431278","22.84"
"2G","104/1","遠傳電信股份有限公司","15525277","461617","33.63"
"4G","103/12","所有業者","305317610.4","3449307","88.52"
"3G","103/12","中華電信股份有限公司","804807426","8330491","96.61"
"3G","103/12","台灣大哥大股份有限公司","385078657","5928117","64.96"
"3G","103/12","亞太電信股份有限公司","175948174","1784111","98.62"
"3G","103/12","威寶電信股份有限公司(至103年12止)","76450830","1447292","52.82"
"3G","103/12","遠傳電信股份有限公司","539256859","5964744","90.41"
"2G","103/12","中華電信股份有限公司","95044530","1464893","64.88"
"2G","103/12","台灣大哥大股份有限公司","10743339","444368","24.18"
"2G","103/12","遠傳電信股份有限公司","17856328","488066","36.59"
"4G","103/11","所有業者","225787446.4","2785716","81.05"
"3G","103/11","中華電信股份有限公司","859169388","8482138","101.29"
"3G","103/11","台灣大哥大股份有限公司","390577396","6175054","63.25"
"3G","103/11","亞太電信股份有限公司","176917557","1840255","96.14"
"3G","103/11","威寶電信股份有限公司(至103年12止)","75053954","1468044","51.13"
"3G","103/11","遠傳電信股份有限公司","539748281","6090128","88.63"
"2G","103/11","中華電信股份有限公司","106710939","1544831","69.08"
"2G","103/11","台灣大哥大股份有限公司","11176500","458710","24.37"
"2G","103/11","遠傳電信股份有限公司","18794912","513042","36.63"
"4G","103/10","所有業者","151062750.8","2103521","71.81"
"3G","103/10","中華電信股份有限公司","872975682","8640826","101.03"
"3G","103/10","台灣大哥大股份有限公司","447049876","6421807","69.61"
"3G","103/10","亞太電信股份有限公司","197101267","1874039","105.17"
"3G","103/10","威寶電信股份有限公司(至103年12止)","82645697","1500367","55.08"
