國別地區,中文片名,銷售金額,累計銷售金額
白俄羅斯,波斯語課,"845,606","1,394,346"
英國,盜夢偵探,"502,363","849,605"
泰國,夜遊實驚秀,"200,936","472,573"
法國,巴黎星空下,"102,220","210,160"
日本,歡樂時光,"66,693","124,028"
西班牙,顫抖的慾望 經典數位修復,"65,155","106,735"
德國,我的親親小妹,"31,780","59,948"
南韓,妓生回憶錄,"1,770","4,035"
日本,令人討厭的松子的一生,"837,898","1,371,353"
西班牙,窗邊上的玫瑰 經典數位修復,"42,470","79,655"
美國,哥吉拉大戰金剛,"127,259,859","278,025,892"
美國,游牧人生,"2,819,298","9,054,719"
中華民國,愛.殺,"263,643","1,104,729"
義大利,西西里恐怖故事,"132,199","1,391,498"
日本,鳴鳥不飛：Don’t stay gold,"92,880","662,830"
中華民國,動保蝙蝠俠,"84,930","219,190"
中華民國,削瘦的靈魂,"72,800","344,599"
日本,前田建設奇幻營業部,"70,690","751,554"
德國,父愁者聯盟,"58,725","889,343"
日本,太陽不會動,"57,162","679,502"
美國,老娘演很大,"44,520","691,877"
南韓,孩子別哭,"36,135","405,373"
美國,愛情瞎攪禍,"16,115","253,526"
日本,小說之神,"14,870","176,860"
法國,兩人之間,"13,035","214,677"
阿根廷,聲魔入侵,"3,920","75,918"
美國,花漾女子,"367,358","7,098,845"
英國,波麗萊多里鬼屋,"239,800","5,230,023"
中華民國,尼泊爾布思議,"86,720","281,120"
中華民國,揭大歡喜,"67,851","2,256,534"
南韓,今天決定我愛你,"67,285","3,083,903"
日本,間諜之妻,"56,450","896,032"
美國,終極異噬界,"21,224","2,212,770"
美國,魔坑,650,"1,039,041"
美國,春風化雨,580,"210,829"
美國,尋龍使者：拉雅,"5,477,320","55,916,988"
丹麥,醉好的時光,"396,831","3,449,572"
日本,淺田家！,"324,094","5,366,767"
英國,噪反,"212,361","17,234,820"
中華民國,東經北緯,"115,055","2,942,888"
日本,Fate/Grand Order-神聖圓桌領域卡美洛-Wandering; Agateram,"21,750","3,482,211"
美國,鬼故事收藏館,"16,845","2,966,983"
美國,弒樂園,"10,050","1,022,900"
中華民國,聽見臺灣,"7,335","499,405"
英國,詐欺女王,"212,232","17,037,612"
日本,銀魂 THE FINAL,"188,292","9,515,225"
日本,名偵探柯南：緋色的不在場證明,"133,682","19,157,336"
中華民國,複身犯,"40,410","14,565,811"
日本,澪之料理帖,"26,730","349,790"
德國,100%小狼人,"21,496","5,173,642"
日本,夏目友人帳 特別上映版:喚石與可疑訪客,"20,718","5,373,816"
中國大陸,刺殺小說家,"10,920","3,793,289"
中華民國,伏魔殿,"9,440","317,010"
德國,竊聽風暴,"3,900","734,719"
日本,晨曦將至,"3,450","456,442"
香港,墮落天使  4K數位修復版,"25,370","2,563,553"
美國,結婚計念日,"14,150","2,324,806"
日本,超時空甩尾 經典重映,"3,180","1,558,566"
日本,STAND BY ME 哆啦A夢2,"149,251","41,086,999"
英國,偷天行動,"36,580","2,046,935"
新加坡,男兒王,"29,015","3,426,492"
中華民國,我沒有談的那場戀愛,"16,890","37,908,772"
匈牙利,銀龍出任務,0,"3,786,051"
中華民國,角頭－浪流連,"315,442","161,643,614"
德國,諾亞方舟大冒險,"49,165","1,906,125"
俄羅斯,海豚總動員,"37,935","2,336,128"
美國,幽靈戰場,"22,400","463,584"
泰國,騙騙愛上你,"5,140","1,860,768"
伊朗,無邪,"4,960","761,916"
中華民國,緝魂,770,"50,630,309"
美國,細物警探,"46,260","10,791,757"
西班牙,她們玩到掛,700,"175,875"
日本,約定的夢幻島,"6,080","8,035,721"
日本,喬瑟與虎與魚群動畫版,"3,580","20,463,021"
日本,《屁屁偵探：咖哩香料事件》 《屁屁偵探：瓢蟲遺跡之謎》,"36,552","11,625,234"
美國,馬德里金庫盜數90分鐘,"57,415","27,259,867"
日本,死亡醫生的遺產-BLACK FILE-,"15,380","2,431,447"
法國,蠢蛋告別式,"11,565","310,505"
美國,冰血驚魂,990,"258,285"
日本,一步一步的愛,980,"166,494"
香港,拆彈專家2,"94,435","91,495,679"
中華民國,杏林醫院,"10,100","29,335,206"
美國,空中謎航,"2,310","1,341,044"
美國,靈魂急轉彎,"59,025","184,395,494"
美國,真愛鄰距離,"13,510","1,386,681"
中華民國,腿,"5,220","7,860,920"
美國,神力女超人1984,"57,975","249,391,137"
美國,求婚好意外,"4,620","6,122,697"
美國,魔物獵人,"8,035","100,803,483"
中華民國,親愛的殺手,"4,660","6,453,724"
美國,古魯家族：新石代,"15,850","17,218,502"
伊朗,緝毒風暴,"6,010","615,130"
日本,鬼滅之刃劇場版 無限列車篇,"115,603","633,952,884"
中華民國,親愛的房客,"9,130","38,721,392"
日本,紫羅蘭永恆花園電影版,"4,938","27,696,660"
加拿大,哈柏太空之旅 3D,435,"109,300"
加拿大,深海獵奇 3D,0,"180,679"
